"","caseid","weight_full","mode","voted2012","regist2016","primary2016","intendvote","ideology","pid_strength","born_again","fundamentalist","race","female","income","hannity","minutes60","cooper","matthews","press","conan","bigbang","modernfamily","rush","npr","voted2016","votechoice2016","demprescandft","gopprescandft","libprescandft","greenprescandft","demhousecandft","gophousecandft","indhousecandft","demsencandft","gopsencandft","indsencandft","srsenft","jrsenft","nonrunsenft","demvpcandft","gopvpcandft","robertsft","popeft","christianfundft","femft","liberalsft","laborunionsft","poorft","bigbusinessft","conservativesft","sctft","gaysft","congressft","richft","muslimsft","christiansft","jewsft","teapartyft","policeft","transft","scientistsft","blmft","taxmill","vaccincesinschool","vaccines","govtreduceeq","reqequal","howequal","foreignim","immigsupport","freetradeag","marijuana","asiansft","hispanicsft","blacksft","illegalsft","whitesft","location","educ","gop","dem","employed","cath_attend","prot_attend","jew_attend","cath_nonatt","prot_nonatt","jew_nonatt","obama12","romney12","yesvote2016","trump16","clinton16"
"1",300001,0.84200001,1,0,1,0,1,NA,7,1,0,1,0,3,0,1,0,0,0,0,1,0,NA,NA,4,2,15,85,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,60,NA,60,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,1,1,2,-1,1,2,1,2,1,-1,30,30,60,0,60,"LA",2,1,0,1,0,0,0,0,0,0,NA,NA,1,1,0
"2",300002,1.0132999,1,1,1,0,1,5,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,50,60,70,NA,NA,50,NA,50,50,NA,NA,NA,50,NA,60,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,1,1,1,1,1,1,NA,2,0,1,50,30,50,0,50,"AR",4,1,0,1,0,0,0,0,0,0,1,0,1,1,0
"3",300003,0.36719999,1,0,0,0,NA,NA,3,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,-1,1,1,-1,1,1,1,1,-1,1,50,15,30,15,60,"MS",2,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"4",300004,0.36629999,1,1,1,0,NA,NA,5,1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,NA,NA,15,60,50,NA,NA,70,NA,NA,NA,NA,85,60,NA,30,60,40,50,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,-1,0,NA,1,1,2,1,2,0,-1,50,50,50,40,50,"TN",2,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"5",300006,0.64630002,1,1,1,0,1,4,3,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,30,15,40,70,50,50,NA,60,50,NA,NA,NA,50,50,40,50,100,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,1,0,NA,0,1,1,NA,4,0,-1,85,85,85,50,85,"OH",2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"6",300007,0.68809998,1,1,1,0,NA,6,5,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,4,2,0,65,50,50,NA,NA,NA,NA,NA,NA,5,35,NA,30,80,50,85,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,0,1,2,-1,1,2,NA,3,1,-1,50,50,50,25,50,"NJ",5,0,0,1,1,0,0,0,0,0,0,1,1,1,0
"7",300008,4.6150999,1,1,1,1,1,NA,1,0,0,2,0,5,0,1,1,1,1,0,0,1,0,0,4,1,85,50,NA,60,100,NA,NA,100,70,NA,NA,NA,NA,30,70,NA,100,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,0,1,2,1,1,1,NA,4,0,0,50,50,50,50,50,"NY",1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"8",300012,0.94260001,1,1,1,1,1,5,4,0,0,1,1,6,1,1,0,0,0,0,1,0,1,0,4,2,15,85,15,50,50,50,NA,NA,NA,NA,40,40,NA,30,85,50,50,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,1,0,NA,-1,1,1,1,3,1,1,85,100,85,40,100,"NJ",2,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"9",300018,1.0096999,1,1,0,0,NA,4,5,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,NA,NA,0,70,50,50,NA,85,NA,NA,NA,NA,50,60,NA,15,60,50,50,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,1,1,2,0,1,2,NA,1,0,1,70,85,60,0,100,"TX",2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"10",300020,0.60049999,1,0,1,0,NA,3,3,1,0,1,1,4,0,0,0,0,0,0,0,1,0,0,4,3,50,60,60,60,NA,60,NA,NA,NA,NA,50,NA,NA,50,50,NA,100,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,0,1,1,0,1,1,NA,3,0,0,50,50,50,50,50,"MS",3,0,0,1,0,0,0,0,0,0,NA,NA,1,0,0
"11",300021,0,1,0,1,0,1,NA,5,1,0,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LA",1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"12",300023,0,1,1,1,0,1,2,3,0,0,1,1,3,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"13",300026,0.89270002,1,0,1,0,1,4,5,0,0,5,0,5,1,1,1,1,1,0,0,0,0,0,4,3,40,40,50,50,60,70,NA,50,70,NA,NA,NA,40,50,15,85,85,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,1,1,1,0,1,2,1,4,1,1,100,100,100,85,100,"CT",4,0,0,1,0,0,0,0,1,0,NA,NA,1,0,0
"14",300030,1.1928,1,1,1,1,1,NA,2,1,0,1,0,3,1,1,0,0,1,0,0,0,0,0,4,2,0,100,50,50,50,30,NA,30,60,NA,NA,NA,50,0,85,85,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,1,1,1,1,1,1,NA,2,1,1,60,60,85,15,85,"OH",3,0,1,1,0,1,0,0,0,0,1,0,1,1,0
"15",300034,0.31869999,1,1,1,1,1,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,4,1,70,15,998,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,70,40,40,85,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,1,1,1,1,1,1,-1,4,0,1,85,70,85,50,85,"KS",5,0,1,1,0,1,0,0,0,0,1,0,1,0,1
"16",300038,0.95499998,1,0,0,0,NA,NA,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,1,1,1,1,1,1,NA,2,0,1,70,50,85,0,100,"MA",2,0,1,0,0,0,0,0,1,0,NA,NA,0,0,0
"17",300039,0.81459999,1,1,1,1,1,2,1,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,1,85,15,40,70,85,NA,NA,NA,NA,NA,NA,NA,NA,85,30,60,85,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,1,1,1,1,1,1,-1,3,1,1,85,85,70,70,70,"DC",5,0,1,1,0,0,0,1,0,0,1,0,1,0,1
"18",300040,0.2579,1,1,1,0,1,6,7,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,4,2,40,100,85,70,NA,85,NA,NA,NA,NA,70,50,NA,NA,85,70,85,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,1,1,2,-1,1,1,-1,2,-1,1,70,70,70,15,70,"NM",4,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"19",300041,1.6855,1,1,1,1,1,3,1,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,4,1,85,0,50,70,NA,70,NA,85,50,NA,NA,NA,NA,70,0,40,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,1,1,1,1,1,1,NA,4,1,1,100,100,100,85,85,"NY",5,0,1,1,1,0,0,0,0,0,1,0,1,0,1
"20",300042,1.4366,1,1,1,1,1,NA,6,0,0,1,1,5,0,0,0,0,0,0,0,0,NA,NA,4,NA,30,40,998,NA,60,100,NA,85,NA,NA,NA,NA,70,40,40,70,85,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,1,1,1,1,1,1,-1,3,0,-1,60,50,60,40,60,"WA",3,1,0,0,1,0,0,0,0,0,1,0,1,0,0
